"","index","airport","city","country","IATA","ICAO","latitude","longitude","altitude","timezone","DST","tz_database","type","source"
"329",332,"Magdeburg \City\ Airport","Magdeburg","Germany","\N","EDBM",52.073612,11.626389,259,"1","E","Europe/Berlin","airport","OurAirports"
"330",333,"Rothenburg/Görlitz Airport","Rothenburg/ol","Germany","\N","EDBR",51.3633346557617,14.9499998092651,518,"1","E","Europe/Berlin","airport","OurAirports"
"331",334,"Anklam Airport","Anklam","Germany","\N","EDCA",53.8327789306641,13.6686105728149,16,"1","E","Europe/Berlin","airport","OurAirports"
"332",335,"Cottbus-Drewitz Airport","Cottbus","Germany","\N","EDCD",51.889442,14.531944,272,"1","E","Europe/Berlin","airport","OurAirports"
"333",336,"Kamenz Airport","Kamenz","Germany","\N","EDCM",51.2969436645508,14.1274995803833,495,"1","E","Europe/Berlin","airport","OurAirports"
"334",337,"Berlin-Schönefeld International Airport","Berlin","Germany","SXF","EDDB",52.380001068115,13.522500038147,157,"1","E","Europe/Berlin","airport","OurAirports"
"335",338,"Dresden Airport","Dresden","Germany","DRS","EDDC",51.1328010559082,13.7672004699707,755,"1","E","Europe/Berlin","airport","OurAirports"
"336",339,"Erfurt Airport","Erfurt","Germany","ERF","EDDE",50.9798011779785,10.9581003189087,1036,"1","E","Europe/Berlin","airport","OurAirports"
"337",340,"Frankfurt am Main International Airport","Frankfurt","Germany","FRA","EDDF",50.0333333,8.5705556,364,"1","E","Europe/Berlin","airport","OurAirports"
"338",341,"Münster Osnabrück Airport","Munster","Germany","FMO","EDDG",52.134601593,7.68483018875,160,"1","E","Europe/Berlin","airport","OurAirports"
"339",342,"Hamburg Airport","Hamburg","Germany","HAM","EDDH",53.630401611328,9.9882297515869,53,"1","E","Europe/Berlin","airport","OurAirports"
"340",343,"Berlin-Tempelhof International Airport","Berlin","Germany","THF","EDDI",52.4729995727539,13.4039001464844,167,"1","E","Europe/Berlin","airport","OurAirports"
"341",344,"Cologne Bonn Airport","Cologne","Germany","CGN","EDDK",50.8658981323,7.1427397728,302,"1","E","Europe/Berlin","airport","OurAirports"
"342",345,"Düsseldorf International Airport","Duesseldorf","Germany","DUS","EDDL",51.2895011901855,6.76677989959717,147,"1","E","Europe/Berlin","airport","OurAirports"
"343",346,"Munich International Airport","Munich","Germany","MUC","EDDM",48.353801727295,11.786100387573,1487,"1","E","Europe/Berlin","airport","OurAirports"
"344",347,"Nuremberg Airport","Nuernberg","Germany","NUE","EDDN",49.498699,11.0780556,1046,"1","E","Europe/Berlin","airport","OurAirports"
"345",348,"Leipzig Halle Airport","Leipzig","Germany","LEJ","EDDP",51.4238889,12.2363889,465,"1","E","Europe/Berlin","airport","OurAirports"
"346",349,"Saarbrücken Airport","Saarbruecken","Germany","SCN","EDDR",49.2145996094,7.10950994492,1058,"1","E","Europe/Berlin","airport","OurAirports"
"347",350,"Stuttgart Airport","Stuttgart","Germany","STR","EDDS",48.6898994446,9.22196006775,1276,"1","E","Europe/Berlin","airport","OurAirports"
"348",351,"Berlin-Tegel International Airport","Berlin","Germany","TXL","EDDT",52.5597000122,13.2876996994,122,"1","E","Europe/Berlin","airport","OurAirports"
"349",352,"Hannover Airport","Hannover","Germany","HAJ","EDDV",52.461101532,9.68507957458,183,"1","E","Europe/Berlin","airport","OurAirports"
"350",353,"Bremen Airport","Bremen","Germany","BRE","EDDW",53.0475006104,8.78666973114,14,"1","E","Europe/Berlin","airport","OurAirports"
"351",354,"Frankfurt-Egelsbach Airport","Egelsbach","Germany","QEF","EDFE",49.9599990844727,8.64583301544189,384,"1","E","Europe/Berlin","airport","OurAirports"
"352",355,"Frankfurt-Hahn Airport","Hahn","Germany","HHN","EDFH",49.9486999512,7.26388978958,1649,"1","E","Europe/Berlin","airport","OurAirports"
"353",356,"Mannheim-City Airport","Mannheim","Germany","MHG","EDFM",49.4730567932129,8.51416683197021,308,"1","E","Europe/Berlin","airport","OurAirports"
"354",357,"Allendorf/Eder Airport","Allendorf","Germany","\N","EDFQ",51.0349998474121,8.680832862854,1158,"1","E","Europe/Berlin","airport","OurAirports"
"355",358,"Worms Airport","Worms","Germany","\N","EDFV",49.606945,8.368333,295,"1","E","Europe/Berlin","airport","OurAirports"
"356",359,"Mainz-Finthen Airport","Mainz","Germany","\N","EDFZ",49.967499,8.147222,525,"1","E","Europe/Berlin","airport","OurAirports"
"357",360,"Eisenach-Kindel Airport","Eisenach","Germany","\N","EDGE",50.991604,10.47973,1112,"1","E","Europe/Berlin","airport","OurAirports"
"358",361,"Siegerland Airport","Siegerland","Germany","\N","EDGS",50.7076988220215,8.08296966552734,1966,"1","E","Europe/Berlin","airport","OurAirports"
"359",362,"Hamburg-Finkenwerder Airport","Hamburg","Germany","XFW","EDHI",53.5352783203125,9.83555603027344,23,"1","E","Europe/Berlin","airport","OurAirports"
"360",363,"Kiel-Holtenau Airport","Kiel","Germany","KEL","EDHK",54.3794441223145,10.1452779769897,102,"1","E","Europe/Berlin","airport","OurAirports"
"361",364,"Lübeck Blankensee Airport","Luebeck","Germany","LBC","EDHL",53.8054008484,10.7192001343,53,"1","E","Europe/Berlin","airport","OurAirports"
"362",365,"Flugplatz Dahlemer Binz","Dahlemer Binz","Germany","\N","EDKV",50.405555725,6.5288891792,1896,"1","E","Europe/Berlin","airport","OurAirports"
